DATE,revenue,tv_S,ooh_S,print_S,facebook_I,search_clicks_P,search_S,competitor_sales_B,facebook_S,events,newsletter
23/11/15,2754371.667,67075.04,0,38185.46667,72903852.71,0,0,8125009,22821.39874,na,19401.65385
30/11/15,2584276.667,85840.36,0,0,16581099.55,29511.71546,12400,7901549,3425.857351,na,14791
07/12/15,2547386.667,0,396835.2,1361.6,49954773.67,36132.35896,11360,8300197,12769.12613,na,14544
14/12/15,2875220,250350.92,0,53040,31649297.03,36804.21096,12760,8122883,8401.472031,na,2800
21/12/15,2215953.333,0,832008,0,8802269.479,28401.74407,10840,7105985,2068.747816,na,15478
28/12/15,2569921.667,99675.92,0,95766.93333,49902081.11,38061.77591,11320,7097237,16011.01552,na,13817
04/01/16,2171506.667,2061.16,680260.8,0,41147695.82,36289.51378,11120,6974368,10869.0367,na,28817
11/01/16,2464131.667,8856.68,0,70743.86667,56554690.6,34765.10899,12800,7452174,12389.44846,na,19082
18/01/16,2012520,0,0,0,35730563.64,28023.4815,9160,6703566,10869.0367,na,19679
25/01/16,1738911.667,0,0,33731.73333,31861260.55,21069.73925,9160,5535394,9008.071755,na,15095
01/02/16,1772306.667,49535.48,127432,0,0,28023.9773,8240,5480098,0,na,9795
08/02/16,1809058.333,0,0,14290.66667,34249657.55,21323.33197,8080,5872523,10693.14659,na,10876
15/02/16,1952740,198829.32,0,7345.2,15189759.02,0,0,5822926,4345.793221,na,19401.65385
22/02/16,1507805,0,0,0,0,0,0,5027123,0,na,19401.65385
29/02/16,1510391.667,124668.88,0,0,32458460.73,16067.67012,6880,4561518,7246.789212,na,583
07/03/16,1588840,0,0,49518.26667,0,28877.38417,8480,4996211,0,na,8224
14/03/16,1605990,59317.32,131982.4,0,0,17065.23476,7120,4938630,0,na,5311
21/03/16,1356010,0,0,0,0,21110.45735,6880,4520383,0,na,7428
28/03/16,2103936.667,0,198265.6,40738.26667,80241679.46,18271.14539,7600,4506918,19413.14522,na,10025
04/04/16,1120835,0,0,0,3439178.323,13909.65659,5720,3738504,62.51193421,na,9460
11/04/16,1141140,0,199241.6,0,0,13329.7719,5600,3768926,0,na,2964
18/04/16,1166880,33380.2,0,0,28249364.1,17090.72333,5360,3663385,7046.06356,na,11663
25/04/16,888806.6667,0,0,0,0,12314.67422,5400,2960479,0,na,6317
